calories,fat,fiber,sugar,protein,,,,,,,
0,0,0,0,0,,,,,,,
60,0.2,2.6,6.4,1.6,,,,,,,
219.2,0.8,6.4,16,11.2,,,,,,,
0,0,0,0,0,,,,,,,
3239.928571,369.3518571,0,0,3.239928571,,,,,,,
284.4,1.8,0,3.6,64.8,,,,,,,
63.865,0.803333333,6.828333333,0,2.811666667,,,,,,,
0.179674797,0.001626016,0.012195122,0.02601626,0.008943089,,,,,,,
8255.52,21.7728,61.6896,5.4432,234.0576,,,,,,,
63.865,0.803333333,6.828333333,0,2.811666667,,,,,,,
6024.375,683.4375,0,0,0,,,,,,,
5450.892049,294.9455287,0,477.8864262,294.9455287,,,,,,,
11904,1344,0,0,0,,,,,,,
102.5,2.5,12.5,2.5,7.5,,,,,,,
2202.788736,3.910275862,22.15822989,1.303425287,45.61988506,,,,,,,
768.986,0,161.239,12.403,12.403,,,,,,,
327.2327857,366.1119286,0,0,3.239928571,,,,,,,
25,0.1,1.7,2.9,0.6,,,,,,,
11424,1296,0,0,0,,,,,,,
74.22381818,0.824709091,7.422381818,8.247090909,3.298836364,,,,,,,
1947.317379,52.39769655,0,0,118.090331,,,,,,,
143.0784,0.196992,3.42144,1.8144,3.83616,,,,,,,
272.154,0,0,0,0,,,,,,,
11.7,0,0.2,1,0.2,,,,,,,
138,0,0,6,0,,,,,,,
212.625,11.34,5.67,0,11.34,,,,,,,
553.392,81.648,18.144,9.072,18.144,,,,,,,
876.9406667,786.2226667,0,15.11966667,7.559833333,,,,,,,
11.25,0,1.25,0,1.25,,,,,,,
3878.1945,0,0,997.898,0,,,,,,,
12,0,1,0,2,,,,,,,
65.906,2.126,8.504,0,2.126,,,,,,,
63.5026,0,0,1.889958333,12.473725,,,,,,,
99.232,3.544,14.176,0,3.544,,,,,,,
315.9542857,21.46428571,12.87857143,17.17142857,3.434285714,,,,,,,
138,0,0,6,0,,,,,,,
99.7898,1.295971429,4.5359,7.775828571,14.25568571,,,,,,,
195.325,9.015,25.04166667,7.011666667,10.01666667,,,,,,,
3656.210303,300.3315606,0,4.81080303,226.1077424,,,,,,,
12.5,0,1.666666667,0.833333333,0.833333333,,,,,,,
