id,title,Ingredients,Directions,numberofsteps,recipe_id
1584,Foul Moudammas,"
* 1 cup cooked fava beans or canned fava beans
* å_ cup [[lemon]] juice
* 3 cloves [[garlic]] crushed with 1 tspn [[salt]] (optional)
* 2 tbls finely chopped fresh [[Parsley]]
* å_ cup olive [[oil]] 
","== Directions ==
# Drain fava beans. Put in a bowl.
# Mix [[garlic]], [[lemon]] juice and å_ quantity of [[oil]]. 
# Add to beans and mix well.
# Garnish with [[Parsley]] and olive [[oil]].
# Serve with spring [[onion]]s and [[tomato]]es.
__NOTOC__
",5,1
1624,Potato Dumplings,"
* 2 pounds [[potato]]es
* [[all-purpose flour]] as required
* å_ teaspoon [[nutmeg]]
* 3 [[egg]]s, beaten
* 2 ounces [[butter]], melted and cooled
","== Directions ==
# Boil [[potato]]es until tender.
# Set aside until quite cold.
# Pass cold [[potato]]es through a grater into a large bowl.
# Add half the volume of the [[potato]]es in [[flour|plain flour]] and mix well together.
# Add [[nutmeg]], beaten [[egg]] and melted [[butter]].
# Form into small dumpling shapes with damp hands.
# Bring a large pot of [[water]] to the boil.
# Place a few dumplings into the fast boiling [[water]], and cook for about 10 minutes.
# Lift from [[water]] with a slotted spoon and drain.
# Cook remainder of dumplings a few at a time, until completed.
# Serve with a sauce of [[tomato]] and [[onion]], flavoured with a little [[thyme]] and [[oregano]], or sauce of your choice.
",11,2
1636,Lebanese Basic Dough,"
* 5 cups plain [[flour]]
* 1å_ cups tepid [[water]]
* å_ cup [[olive oil]]
* å_ cup [[vegetable oil]]
* 2 tbsp [[salt]]
* 2 tbsp [[granulated sugar|sugar]]
","== Directions ==
# Sift the [[flour]] into a working surface.
# Mix in [[salt]] and [[granulated sugar|sugar]].
# Make a well in the centre.
# Pour olive [[oil]] and vegetable [[oil]] in the well.
# Mix the dry ingredients into the liquid.
# Add [[water]] gradually.
# Knead the dough into a ball (if the dough is too stiff add some [[water]]).
# Knead the dough on a floured working surface until it is smooth and elastic this can be done in an electric mixer fitted with a dough hook, or in a food processor.
# Form the dough into a ball and put into a lightly floured bowl, covered with a damp cloth.
# Leave in a warm place until the dough has doubled in size- about 6 hours.
",10,3
1655,Yakhnet Bathinjan,"
* 16 oz black [[eggplant]]s, peeled, cubed
* 20 oz [[lamb]] stew meat, cubed
* 1 cup finely chopped [[onion]]
* 1 tbsp [[salt]]
* a dash of ground black [[pepper]] and [[allspice]]
* vegetable [[oil]]
* 1 tbsp [[butter]] or [[shortening]]
","== Directions ==
# Sprinkle [[salt]] on [[eggplant]] cubes.
# Place aside for 1 hour.
# Fry [[eggplant]] cubes in hot [[oil]].
# Remove and drain on absorbent paper.
# Fry chopped [[onion]] for 2 minutes then sautÌ© meat with 2 tbsp of [[butter]].
# Cover with [[water]], add [[salt]] and spices, and cook on high heat.
# Bring to a boil.
# Cover pot and cook on medium heat for 2 hours.
# Add fried [[eggplant]]s to meat and stock.
# Cover pot and cook for 10 minutes.
# Serve [[eggplant]] stew with [[lemon]] wedges and [[eggplant]] dip.
",11,4
1660,Manakeesh bi Zaatar,"
* 2å_ cups plain [[flour]]
* 1 tsp [[yeast]] dissolved in å_ cup of [[water]].
* a generous å_ cup tepid [[water]]
* 1 tbsp [[salt]]
* 1 tbsp [[granulated sugar|sugar]]
* 6 tbsp [[thyme]]
* å_ cup [[olive oil]]
","== Directions ==
# Dilute the [[rice]] in a bit of cold [[water]].
# Boil the [[milk]] and add the [[rice]].
# Stir until the mixture thickens.
# Pour in cups and allow to cool.
# Sprinkle [[pistachio]]s on the surface before serving. 
",5,5
1724,Labna,"
* 2 kg Greek [[yogurt]]
* 75 ml extra virgin olive [[oil]]
* 1 tablespoon [[salt]]
* 1 [[lemon]], juice and rind of, grated
* 1 tablespoon chopped [[thyme]]
* 4 tablespoons chopped [[mint]]
","== Directions ==
# Mix all ingredients together well.
# Pour into a colander lined with muslin.
# Tie the muslin to form a bag.
# Hang the [[yogurt|yoghurt]] mixture for 2 days, placing a pot or bowl underneath to catch the liquid.
# After the 2 days, remove the labna from the muslin, roll into [[walnut]] sized balls.
# Place in a large jar, then cover with a light olive [[oil]].
",6,6
1750,Fasolakia,"
* 2 lbs fresh [[green bean]]s
* 1 large chopped [[onion]]
* 4 [[potato]]es
* 4 ripe [[tomato]]es
* 3 sliced [[onion]]s
* chopped [[garlic]]
* chopped [[parsley]]
* 1 pinch [[granulated sugar|sugar]]
* [[salt]]
* [[pepper]]
","== Directions ==
# Clean and wash the [[green bean|beans]]. 
# Warm the [[oil]] in a pot and simmer the [[onion]]s and throw in the rest of the ingredients, except for the [[potato]]es, with a little bit of [[water]] and leave the [[green bean|beans]] to slowly cook for 20 minutes. 
# Cut the [[potato]]es in 4 wedges and put them in the pot last. 
# If needed put in more [[water]] and let the food boil for a while. Serve hot.
",4,7
1834,Kremithosoupa,"
* 2 cups [[onion]]s
* å_ cup [[olive oil]]
* 2 [[potato]]es
* 2 cups [[tomato sauce]]
* 1 cup [[water]]
* meat broth (optional)
* [[salt]]
* [[pepper]]
","== Directions ==
# Peel, wash and cube the [[potato]]es.
# Pare and slice the [[onion]]s.
# Place these two items into a stock pot and add the [[tomato sauce]], [[oil]], and fill with enough [[water]] (or broth) to cover them.
# Add the [[salt]] and [[pepper]] to taste and boil at moderate temperature for 30 minutes. 
",4,8
1910,Toshiko's Broccoli Salad,"
* 1 kg [[broccoli]], cut into florets
* 2 tablespoons [[soy sauce]]
=== Dressing ===
* 1 tablespoon [[soy sauce]]
* 1å_ cm karashi [[mustard]] (Japanese [[mustard]] sold in a tube, or about 1 teaspoon mild English [[mustard]] would substitute)
","== Directions ==
# Bring a large pot of [[water]] to the boil.
# Throw in the [[broccoli]] florets, and return to the boil.
# Boil for 3 minutes, them remove, and drain in a colander uner running cold [[water]].
# Add the 2 tablespoons of soy and toss to mix.
# In another bowl, mix the karashi and 1 tablespoon of soy sauce.
# Pour this mix over the [[broccoli]], mix and eat!
",6,9
1938,Japanese Very Light Tempura Batter,"
* 1 [[egg]]
* 1 cup very very cold [[water]]
* ‰ÉÝ teaspoon [[baking soda]]
* å_ cup all-purpose [[flour]] or tempura [[flour]] (3 oz)
","== Directions ==
# Break the [[egg]] into a bowl containing the iced [[water]] and whisk until frothy.
# Add [[baking soda]] and [[flour]].
# Beat until the [[flour]] is just mixed in.
# Do not over beat.
# Batter should be so thin that the merest wisp clings to the vegetables dipped in it.
# If it seems too thick, add a little more iced [[water]], and keep the batter cold.
",6,10
1958,Banana Chips,"
* mature green [[banana]]s
* [[granulated sugar|sugar]]
","== Directions ==
# The [[bananas]] are picked in their mature green stage, peeled, washed, sliced and fried in fresh refined [[vegetable oil]].
# The [[banana]] chips does not contain any artificial additives.
# Carmelized [[granulated sugar|sugar]] can be coated to the [[banana]] chips making it sweet and crunchy.
# The average size is 20‰ÛÒ25 mm in diameter and thickness of 3.6 mm more or less. 
",4,11
2001,SautÌ©ed Zucchini,"
* 1 ‰ÛÒ 2 tablespoon [[olive oil]]
* 4 [[zucchini]]
* 1 medium [[onion]]
* 2 tablespoons Japanese [[sesame seed]]s
* 1 tablespoon [[butter]]
* 2 tablespoons [[soy sauce]]
* [[salt]]
* [[pepper]]
","== Directions ==
# Cut [[zucchini]] and [[onion]]s into bite sized pieces.
# Heat olive [[oil]] in a sautÌ© pan on med-high heat.
# Once pan is heated add [[zucchini]], [[onion]], [[sesame seed]]s, [[butter]], soy sauce, [[salt]] and [[pepper]] to taste.
# Cook for about 10 minutes until [[zucchini]] and [[onion]]s are slightly tender and browned.
# Eat and Enjoy!
",5,12
2060,Borani Esfanaaj,"
* 1&amp;nbsp;kg fresh [[spinach]]
* 250 g [[yogurt]]
* 2 [[onion]]s, thinly sliced
* 4 cloves [[garlic]], finely chopped
* [[oil]]
* [[salt]]
* [[black pepper]]
","== Directions ==
# Wash [[spinach]] and cut into small pieces.
# Fry [[onion]]s and [[garlic]] in [[oil]] until slightly golden.
# Add [[spinach]] and fry together over medium heat until cooked.
# Let it cool down completely in the refrigerator.
# Add [[salt]] and [[pepper]] to [[yogurt]] to taste and beat well until the [[yogurt]] is a free-flowing liquid.
# Add [[spinach]] to [[yogurt]] and mix well. The mix should be thick and homogeneous.
",6,13
2136,Shepherd's Pie,"
* 1 medium [[onion]]
* 1 large bell pepper
* 1 lb [[ground beef]]
* å_ tsp Tony,s creole seasoning
* 1 pkg onion soupe mix
* 1 tsp A1 steak sauce
* 1 tsp liquid smoke
* 2 cans mixed veg (drained)
* 1 can corn
* 3/4 cup sour cream
* Approx 1 cup shredded sharp chedder cheese
* mashed or whipped [[potato]]es (shredded hash browns)
","== Directions ==
# Chop onion and pepper, brown with ground beef and seasoning, draining off excess fat
# Place meat, and veg in a casserole dish, blend well
# Blend potatoes and 1/3 of cheese
# Cover meat with potato,s
# Bake at 350 F. until lightly browned (approx 20min)
# Remove, sprinkle remaining cheese on top
# Bake again until cheese is melted
# Remove and let stand for approx 5 min before serving
",8,14
2280,Mango Salad,"
* 2 ripe [[mango]]es
* å_ [[red onion]], thinly sliced
* å_ [[red bell pepper]], julienned
* 1 [[lime]], juice of [[lime]] zest (optional)
* fresh [[cilantro]]
","== Directions ==
# I find the easiest way to cut up [[mango]] for this is to cut off as much as you can, slicing along the side of the pit.
# You can tell what way the pit grows by its shape.
# Score the [[mango]] halves lengthways, then crossways, into å_ inch cubes, going through to the skin, but not through it.
# Turn the [[mango]] halves inside out and slice off the cubes.
# Toss with remaining ingredients.
# Goes well with any Thai or Indonesian dish.
",6,15
2344,Persian Lamb-Vegetable Khoreshe,"
* 1 large [[eggplant]]
* [[olive oil]]
* 2 large [[onion]]s, sliced
* 2 lbs boneless [[lamb]], cut into 1 inch cubes
* 3 large [[tomato]]es, peeled and chopped
* 2 tablespoons fresh [[lemon juice]]
* 1 teaspoon ground [[cinnamon]]
* å_ teaspoon ground [[nutmeg]]
* fresh ground [[pepper]]
","== Directions ==
# Slice the unpeeled [[eggplant]] and sprinkle with [[salt]]; place in a colander to drain for 25-30 minutes.
# Pat [[eggplant]] dry and set aside.
# Heat 2 tbsp [[olive oil]] in large saute pan; sautÌ© eggplant until tender.
# Add a little [[oil]] as needed to prevent sticking.
# In large kettle, heat 2 tbsp.
# [[olive oil]]; add [[onion]]s and sautÌ© until tender.
# Add [[lamb]] cubes, [[browning]] on all sides.
# Lower heat and simmer for 20 minutes, then add [[eggplant]], [[tomato]]es, [[lemon juice]], [[cinnamon]], and [[nutmeg]].
# Season to taste with [[salt]] and [[pepper]]; add å_ cup [[water]].
# Simmer for 1 hour, or until meat is tender.
# Serve over [[chelo]], or steamed [[basmati rice]].
# [[Lemon]] wedges also make a good condiment.
",12,16
2430,Lebanese Green Bean Salad,"
* 1 lb fresh [[green bean]]s with the ends trimmed
* 1/2 cup minced [[red onion]]s
* 2 tbsp finely chopped fresh [[parsley]]
* 2 cloves [[garlic]], minced
* 2 tbsp [[lemon]] juice
* 2 tsp olive [[oil]] 
* [[salt]] and [[pepper]] to taste
","== Directions ==
# Cut [[green bean|beans]] into desired lengths or leave whole. 
# Steam for 5 minutes, or until tender. 
# Drain well and put into a large bowl. 
# Add remaining ingredients and toss well to combine. 
# Chill for at least 2 hrs before serving.
",5,17
2480,Iced Korean Cucumber Soup,"
* 2 [[cucumber]]s
* 2 cups [[chicken broth]], degreased
* 1 cup [[water]]
* å_ cup [[cider vinegar]]
* å_ cup [[soy sauce]]
* 1 tablespoon [[sesame oil]]
* 1å_ teaspoons [[granulated sugar|sugar]]
* 1 teaspoon [[white pepper]]
* 4 [[green onions]], chopped on the diagonal
* 2 tablespoons toasted [[sesame seed]]s
* 15 to 20 [[ice]] cubes
","== Directions ==
# If the [[cucumber]]s are waxy, peel them. If the skin is thin and unwaxed, leave it on.
# Cut the [[cucumber]] into matchstick julienne, about 2 inches in length.
# To make the soup more attractive, cut the ends of the matchsticks on the diagonal.
# In a large serving bowl, mix together the [[chicken broth]], [[water]], [[cider vinegar]], soy sauce, [[sesame oil]], [[granulated sugar|sugar]] and [[white pepper]].
# Stir in the [[cucumber]] and [[green onions]].
# Chill well.
# Just before serving, stir the [[ice]] cubes and [[sesame seed]]s into the soup.
# Taste the soup to correct the seasonings. It should be pleasantly tart and slightly salty, with a hint of sesame. If the flavorings seem too strong, then dilute with additional [[water]], but keep in mind that the [[ice]] cubes will thin down the flavors as they melt.
",8,18
