calories,fat,fiber,sugar,protein
0,0,0,0,0
60,0.2,2.6,6.4,1.6
27.4,0.1,0.8,2,1.4
0,0,0,0,0
100,11.4,0,0,0.1
15.8,0.1,0,0.2,3.6
15.9,0.2,1.7,0,0.7
22.1,0.2,1.5,3.2,1.1
227.5,0.6,1.7,0.15,6.45
15.9,0.2,1.7,0,0.7
119,13.5,0,0,0
73,3.95,0,6.4,3.95
124,14,0,0,0
4.1,0.1,0.5,0.1,0.3
169,0.3,1.7,0.1,3.5
6.2,0,1.3,0.1,0.1
10.1,11.3,0,0,0.1
25,0.1,1.7,2.9,0.6
119,13.5,0,0,0
18,0.2,1.8,2,0.8
249,6.7,0,0,15.1
138,0.19,3.3,1.75,3.7
2.4,0,0,0,0
5.85,0,0.1,0.5,0.1
11.5,0,0,0.5,0
7.5,0.4,0.2,0,0.4
6.1,0.9,0.2,0.1,0.2
23.2,20.8,0,0.4,0.2
0.9,0,0.1,0,0.1
17.1,0,0,4.4,0
1.2,0,0.1,0,0.2
3.1,0.1,0.4,0,0.1
16.8,0,0,0.5,3.3
2.8,0.1,0.4,0,0.1
36.8,2.5,1.5,2,0.4
11.5,0,0,0.5,0
18.48,0.24,0.84,1.44,2.64
19.5,0.9,2.5,0.7,1
532,43.7,0,0.7,32.9
1.5,0,0.2,0.1,0.1
10.8,0,0.1,0.3,1.9
0,0,0,0,0
129,0.2,1.6,25.4,1.3
107,0,0.3,0,0.1
56.5,4.8,0,0.9,0.1
2.7,0,0,0,0
215.5,14.3,0,0.45,19.25
63.8,0,0,17.2,0.1
77.4,1.1,2.4,2.9,2.9
149,8,0,11.4,8.5
27.4,0.1,0.8,2,1.4
128,12.6,0,0,3.2
7.9,0.4,0.9,0.2,0.3
198.5,19.85,0,1.85,3.45
126,0.4,5.8,25.1,0.6
44,0.1,1.9,4.7,1.2
78.2,1.3,7.5,1.4,9.7
16,0,0,4.2,0
4.9,0.1,0.8,0,0.4
5.6,0.3,0.5,0.2,0.2
90.1,1.5,0,0,17.3
185,18.4,1.9,0.7,4.3
24.1,0.3,1.4,2.8,1.2
50.4,0.1,0,9.3,0.6
286.75,22.9,0,0,18.925
121,0,0,1.4,0.1
157.5,13.9,0,0.2,3.6
47,0.4,2.9,7.2,1
45.6,0.5,2.6,6.3,1.7
6.7,0,0.6,0,0.2
3.3,0.2,0.2,0,0.2
5.5,0.1,0.5,0,0.1
5.4,0.1,0.5,0.3,0.5
13.3,0,0,1.7,0
31.4,0.4,2.2,3.4,2.4
22.2,0.1,2.2,2.8,1.1
6.5,0.4,0.7,0,0.1
6.1,0.3,0.4,0,0.3
39.8,4.5,0,0,0
61.6,0.2,3.1,12.1,1.2
169,14.9,3.3,1.4,6.2
46.2,0.4,3.1,6.3,1.5
164,13.9,2.2,1.2,6.6
240,15.875,0,0,24.25
91.3,4.8,0.7,0,9.3
414,44.4,0,0.1,2.5
5.5,0,4.6,0.4,0.1
4.6,0.2,0.4,0,0.1
29.8,0.3,2.5,3.6,1.3
117,0.6,7.4,8.2,7.9
139,0.8,7,20.7,7.3
38.6,0,0,10,0
133,12.8,0,0,0
195,20.3,2.7,1.1,2.6
66,0.5,9.3,6.5,2.8
135,0.6,3.7,30.6,1.1
58.8,0.4,3.7,10.4,3.2
50.1,4.6,2,0.1,0.6
136,0,0,6.9,0.3
222.5,24.1,0,0,2.3
0.9,0,0.1,0.1,0.1
0,0,0,0,0
168,12.5,0,0.6,12.4
0,0,0,0,0
98,2.2,0,11.7,8.1
50.3,0.5,3.8,2.5,4.2
50.1,4.6,2,0.1,0.6
10.8,0.5,1.4,0,0.2
110.5,1.1,2.225,0.2,2.475
166,14.4,2.5,1.3,4.8
2.8,0,0,0,0
6.2,0.1,0.6,0,0.2
7.1,0.2,0.4,0.1,0.2
20.3,0.9,2.1,0.2,0.8
112,0.4,3.3,15.4,1.4
236.075,16.35,0,0,20.775
172,1.275,1.6,0,3.575
51.6,4.5,1.1,0,1.6
100,11.4,0,0,0.1
203.5,1.1,7.3,0,8.2
188,16,2.6,2.7,7.7
106.75,1.425,1.225,1.675,3.6
20.6,0.3,1.5,0,2.7
0,0,0,0,0
54.3,0.3,1.6,3.5,1.3
130,11.7,0,5.2,0.7
72,0,0,0,0
34.1,0.1,3.7,1.5,2
98,5.9,14.25,0.75,8.45
16.8,0.5,0,0,2.7
3.1,0,0,0.1,0
